Nome Estacão,Data,Humidade relativa média diária (%),Precipitação diária (mm),Temperatura do ar média diária (°C),Velocidade do vento média diária (m/s),Distrito
SÃO BENTO DA PORTA ABERTA,20/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/04/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/05/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/06/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/07/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/08/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/09/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/10/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/11/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/12/1994 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/01/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/02/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,12/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,13/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,14/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,15/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,16/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,17/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,18/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,19/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,20/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,21/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,22/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,23/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,24/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,25/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,26/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,27/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,28/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,29/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,30/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,31/03/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,01/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,02/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,03/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,04/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,05/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,06/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,07/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,08/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,09/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,10/04/1995 09:00,,,,,Braga
SÃO BENTO DA PORTA ABERTA,11/04/1995 09:00,,,,,Braga
